metric,group,label,count,fraction,value
rows_total,,,9979,1.0,9979.0
rows_train,train,,6985,0.6999699368674216,6985.0
rows_valid,valid,,998,0.1000100210441928,998.0
rows_test,test,,1996,0.2000200420883856,1996.0
valid_molecules,,,9979,1.0,9979.0
test_label_conflicts,,,116,0.05811623246492986,116.0
exact_test_leaks,,,162,0.0811623246492986,162.0
near_train_analogues,,,375,0.187875751503006,375.0
same_scaffold_test_molecules,,,1104,0.5531062124248497,1104.0
audit_clean_test_molecules,,,656,0.3286573146292585,656.0
audit_group_count,same_scaffold,,955,0.4784569138276553,955.0
audit_group_count,audit_clean,,656,0.3286573146292585,656.0
audit_group_count,near_train_analogue,,213,0.10671342685370741,213.0
audit_group_count,label_conflict,,116,0.05811623246492986,116.0
audit_group_count,exact_leak,,56,0.028056112224448898,56.0
label_distribution_by_audit_group,audit_clean,-9.129966133,1,0.001524390243902439,1.0
label_distribution_by_audit_group,audit_clean,-9.039324078,1,0.001524390243902439,1.0
label_distribution_by_audit_group,audit_clean,-8.8106451034,1,0.001524390243902439,1.0
label_distribution_by_audit_group,audit_clean,-8.4790833317,1,0.001524390243902439,1.0
label_distribution_by_audit_group,audit_clean,-8.4587601408,1,0.001524390243902439,1.0
label_distribution_by_audit_group,audit_clean,-8.3487503358,1,0.001524390243902439,1.0
label_distribution_by_audit_group,audit_clean,-8.2677435641,1,0.001524390243902439,1.0
label_distribution_by_audit_group,audit_clean,-8.2164783763,1,0.001524390243902439,1.0
label_distribution_by_audit_group,audit_clean,-8.1852587653,1,0.001524390243902439,1.0
label_distribution_by_audit_group,audit_clean,-8.17,1,0.001524390243902439,1.0
label_distribution_by_audit_group,audit_clean,-8.123728845599999,1,0.001524390243902439,1.0
label_distribution_by_audit_group,audit_clean,-8.0871707055,1,0.001524390243902439,1.0
label_distribution_by_audit_group,audit_clean,-8.0544153113,1,0.001524390243902439,1.0
label_distribution_by_audit_group,audit_clean,-7.9814736459,1,0.001524390243902439,1.0
label_distribution_by_audit_group,audit_clean,-7.9081,1,0.001524390243902439,1.0
label_distribution_by_audit_group,audit_clean,-7.770909422999999,1,0.001524390243902439,1.0
label_distribution_by_audit_group,audit_clean,-7.7273960926,1,0.001524390243902439,1.0
label_distribution_by_audit_group,audit_clean,-7.7118329776,1,0.001524390243902439,1.0
label_distribution_by_audit_group,audit_clean,-7.7040784145,1,0.001524390243902439,1.0
label_distribution_by_audit_group,audit_clean,-7.6872220822,1,0.001524390243902439,1.0
label_distribution_by_audit_group,audit_clean,-7.6633437338,1,0.001524390243902439,1.0
label_distribution_by_audit_group,audit_clean,-7.6317322062,1,0.001524390243902439,1.0
label_distribution_by_audit_group,audit_clean,-7.5055419522000015,1,0.001524390243902439,1.0
label_distribution_by_audit_group,audit_clean,-7.4604,1,0.001524390243902439,1.0
