metric,group,label,count,fraction,value
rows_total,,,642,1.0,642.0
rows_train,train,,513,0.7990654205607477,513.0
rows_valid,valid,,64,0.09968847352024922,64.0
rows_test,test,,65,0.10124610591900311,65.0
valid_molecules,,,642,1.0,642.0
test_label_conflicts,,,0,0.0,0.0
exact_test_leaks,,,0,0.0,0.0
near_train_analogues,,,10,0.15384615384615385,10.0
same_scaffold_test_molecules,,,27,0.4153846153846154,27.0
audit_clean_test_molecules,,,30,0.46153846153846156,30.0
audit_group_count,audit_clean,,30,0.46153846153846156,30.0
audit_group_count,same_scaffold,,25,0.38461538461538464,25.0
audit_group_count,near_train_analogue,,10,0.15384615384615385,10.0
label_distribution_by_audit_group,audit_clean,-10.78,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,-9.61,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,-8.15,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,-6.619999999999999,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,-6.35,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,-6.09,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,-5.71,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,-5.56,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,-4.97,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,-4.84,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,-4.82,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,-4.59,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,-3.43,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,-3.2,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,-2.79,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,-2.75,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,-2.28,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,-2.13,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,-1.1,2,0.06666666666666667,2.0
label_distribution_by_audit_group,audit_clean,-0.8,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,0.84,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,1.01,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,1.68,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,1.77,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,1.83,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,2.51,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,2.56,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,2.83,1,0.03333333333333333,1.0
label_distribution_by_audit_group,audit_clean,2.93,1,0.03333333333333333,1.0
label_distribution_by_audit_group,near_train_analogue,-5.48,1,0.1,1.0
label_distribution_by_audit_group,near_train_analogue,-3.95,1,0.1,1.0
label_distribution_by_audit_group,near_train_analogue,-2.88,1,0.1,1.0
label_distribution_by_audit_group,near_train_analogue,-2.56,1,0.1,1.0
label_distribution_by_audit_group,near_train_analogue,-2.29,1,0.1,1.0
label_distribution_by_audit_group,near_train_analogue,-0.78,1,0.1,1.0
label_distribution_by_audit_group,near_train_analogue,-0.4,1,0.1,1.0
label_distribution_by_audit_group,near_train_analogue,0.29,1,0.1,1.0
label_distribution_by_audit_group,near_train_analogue,0.34,1,0.1,1.0
label_distribution_by_audit_group,near_train_analogue,3.13,1,0.1,1.0
label_distribution_by_audit_group,same_scaffold,-15.83,1,0.04,1.0
label_distribution_by_audit_group,same_scaffold,-9.4,1,0.04,1.0
label_distribution_by_audit_group,same_scaffold,-7.48,1,0.04,1.0
label_distribution_by_audit_group,same_scaffold,-7.37,1,0.04,1.0
label_distribution_by_audit_group,same_scaffold,-7.28,1,0.04,1.0
label_distribution_by_audit_group,same_scaffold,-7.07,1,0.04,1.0
label_distribution_by_audit_group,same_scaffold,-6.68,1,0.04,1.0
label_distribution_by_audit_group,same_scaffold,-5.26,1,0.04,1.0
label_distribution_by_audit_group,same_scaffold,-4.69,2,0.08,2.0
label_distribution_by_audit_group,same_scaffold,-4.55,1,0.04,1.0
label_distribution_by_audit_group,same_scaffold,-4.09,1,0.04,1.0
label_distribution_by_audit_group,same_scaffold,-3.93,1,0.04,1.0
label_distribution_by_audit_group,same_scaffold,-3.92,1,0.04,1.0
label_distribution_by_audit_group,same_scaffold,-3.88,1,0.04,1.0
label_distribution_by_audit_group,same_scaffold,-3.58,1,0.04,1.0
label_distribution_by_audit_group,same_scaffold,-3.45,1,0.04,1.0
label_distribution_by_audit_group,same_scaffold,-3.3,1,0.04,1.0
label_distribution_by_audit_group,same_scaffold,-3.15,1,0.04,1.0
label_distribution_by_audit_group,same_scaffold,-2.73,1,0.04,1.0
label_distribution_by_audit_group,same_scaffold,-2.46,1,0.04,1.0
label_distribution_by_audit_group,same_scaffold,-2.22,1,0.04,1.0
label_distribution_by_audit_group,same_scaffold,-1.39,1,0.04,1.0
label_distribution_by_audit_group,same_scaffold,-1.34,1,0.04,1.0
label_distribution_by_audit_group,same_scaffold,-0.98,1,0.04,1.0
