metric,group,label,count,fraction,value
rows_total,,,642,1.0,642.0
rows_train,train,,450,0.7009345794392523,450.0
rows_valid,valid,,64,0.09968847352024922,64.0
rows_test,test,,128,0.19937694704049844,128.0
valid_molecules,,,642,1.0,642.0
test_label_conflicts,,,0,0.0,0.0
exact_test_leaks,,,0,0.0,0.0
near_train_analogues,,,12,0.09375,12.0
same_scaffold_test_molecules,,,43,0.3359375,43.0
audit_clean_test_molecules,,,75,0.5859375,75.0
audit_group_count,audit_clean,,75,0.5859375,75.0
audit_group_count,same_scaffold,,41,0.3203125,41.0
audit_group_count,near_train_analogue,,12,0.09375,12.0
label_distribution_by_audit_group,audit_clean,-23.62,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-9.31,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-9.3,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-9.28,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-9.01,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-8.18,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-8.15,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-7.5,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-6.5,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-6.35,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-6.25,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-5.71,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-5.0,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-4.95,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-4.39,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-4.24,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-4.23,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-4.2,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-3.78,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-3.64,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-3.54,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-3.52,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-3.34,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-3.28,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-3.22,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-3.18,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-3.13,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-2.93,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-2.87,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-2.82,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-2.75,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-2.56,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-2.49,2,0.02666666666666667,2.0
label_distribution_by_audit_group,audit_clean,-2.48,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-2.36,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-2.22,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-2.13,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-2.02,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-1.96,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-1.88,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-1.79,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-1.69,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-1.28,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-1.08,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-0.99,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-0.84,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-0.77,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-0.64,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-0.57,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-0.56,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-0.53,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-0.5,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-0.48,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-0.44,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-0.22,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-0.16,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,-0.11,2,0.02666666666666667,2.0
label_distribution_by_audit_group,audit_clean,-0.03,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,0.1,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,0.5,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,0.56,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,0.6,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,0.93,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,1.28,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,1.31,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,1.32,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,1.47,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,1.83,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,2.0,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,2.34,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,2.51,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,2.97,1,0.013333333333333334,1.0
label_distribution_by_audit_group,audit_clean,3.43,1,0.013333333333333334,1.0
label_distribution_by_audit_group,near_train_analogue,-5.48,1,0.08333333333333333,1.0
label_distribution_by_audit_group,near_train_analogue,-4.4,1,0.08333333333333333,1.0
label_distribution_by_audit_group,near_train_analogue,-3.65,1,0.08333333333333333,1.0
label_distribution_by_audit_group,near_train_analogue,-2.04,1,0.08333333333333333,1.0
label_distribution_by_audit_group,near_train_analogue,-0.14,1,0.08333333333333333,1.0
label_distribution_by_audit_group,near_train_analogue,-0.1,1,0.08333333333333333,1.0
label_distribution_by_audit_group,near_train_analogue,0.34,1,0.08333333333333333,1.0
label_distribution_by_audit_group,near_train_analogue,0.52,1,0.08333333333333333,1.0
label_distribution_by_audit_group,near_train_analogue,1.23,1,0.08333333333333333,1.0
label_distribution_by_audit_group,near_train_analogue,2.06,1,0.08333333333333333,1.0
label_distribution_by_audit_group,near_train_analogue,2.88,1,0.08333333333333333,1.0
label_distribution_by_audit_group,near_train_analogue,3.13,1,0.08333333333333333,1.0
label_distribution_by_audit_group,same_scaffold,-18.72,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-11.85,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-11.53,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-9.94,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-9.65,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-9.62,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-9.51,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-9.44,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-7.78,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-7.37,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-6.79,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-6.62,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-6.6,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-5.82,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-5.49,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-5.26,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-5.04,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-4.91,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-4.71,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-4.59,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-4.51,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-4.4,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-4.1,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-4.05,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-4.04,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-3.84,1,0.024390243902439025,1.0
label_distribution_by_audit_group,same_scaffold,-3.64,1,0.024390243902439025,1.0
